mandala_sukta_rik	ashtaka_adhyaya_varga_rik	mandala_anuvaka_rik
01.034.12	1.3.05.06	01.07.060
01.035.01	1.3.06.01	01.07.061
01.035.02	1.3.06.02	01.07.062
01.035.03	1.3.06.03	01.07.063
01.035.04	1.3.06.04	01.07.064
01.035.05	1.3.06.05	01.07.065
01.035.06	1.3.06.06	01.07.066
01.035.07	1.3.07.01	01.07.067
01.035.08	1.3.07.02	01.07.068
01.035.09	1.3.07.03	01.07.069
01.035.10	1.3.07.04	01.07.070
01.035.11	1.3.07.05	01.07.071
01.036.01	1.3.08.01	01.08.001
01.036.02	1.3.08.02	01.08.002
01.036.03	1.3.08.03	01.08.003
01.036.04	1.3.08.04	01.08.004
01.036.05	1.3.08.05	01.08.005
01.036.06	1.3.09.01	01.08.006
01.036.07	1.3.09.02	01.08.007
01.036.08	1.3.09.03	01.08.008
01.036.09	1.3.09.04	01.08.009
01.036.10	1.3.09.05	01.08.010
01.036.11	1.3.10.01	01.08.011
01.036.12	1.3.10.02	01.08.012
01.036.13	1.3.10.03	01.08.013
01.036.14	1.3.10.04	01.08.014
01.036.15	1.3.10.05	01.08.015
01.036.16	1.3.11.01	01.08.016
01.036.17	1.3.11.02	01.08.017
01.036.18	1.3.11.03	01.08.018
01.036.19	1.3.11.04	01.08.019
01.036.20	1.3.11.05	01.08.020
01.037.01	1.3.12.01	01.08.021
01.037.02	1.3.12.02	01.08.022
01.037.03	1.3.12.03	01.08.023
01.037.04	1.3.12.04	01.08.024
01.037.05	1.3.12.05	01.08.025
01.037.06	1.3.13.01	01.08.026
01.037.07	1.3.13.02	01.08.027
01.037.08	1.3.13.03	01.08.028
01.037.09	1.3.13.04	01.08.029
01.037.10	1.3.13.05	01.08.030
01.037.11	1.3.14.01	01.08.031
01.037.12	1.3.14.02	01.08.032
01.037.13	1.3.14.03	01.08.033
01.037.14	1.3.14.04	01.08.034
01.037.15	1.3.14.05	01.08.035
01.038.01	1.3.15.01	01.08.036
01.038.02	1.3.15.02	01.08.037
01.038.03	1.3.15.03	01.08.038
01.038.04	1.3.15.04	01.08.039
01.038.05	1.3.15.05	01.08.040
01.038.06	1.3.16.01	01.08.041
01.038.07	1.3.16.02	01.08.042
01.038.08	1.3.16.03	01.08.043
01.038.09	1.3.16.04	01.08.044
01.038.10	1.3.16.05	01.08.045
01.038.11	1.3.17.01	01.08.046
01.038.12	1.3.17.02	01.08.047
01.038.13	1.3.17.03	01.08.048
01.038.14	1.3.17.04	01.08.049
01.038.15	1.3.17.05	01.08.050
01.039.01	1.3.18.01	01.08.051
01.039.02	1.3.18.02	01.08.052
01.039.03	1.3.18.03	01.08.053
01.039.04	1.3.18.04	01.08.054
01.039.05	1.3.18.05	01.08.055
01.039.06	1.3.19.01	01.08.056
01.039.07	1.3.19.02	01.08.057
01.039.08	1.3.19.03	01.08.058
01.039.09	1.3.19.04	01.08.059
01.039.10	1.3.19.05	01.08.060
