hymn.verses.seer.divinity.meter
1.9.vaiśvāmitro madhucchandāḥ.agniḥ.gāyatrī
133.7.daivaodāsiḥ parucchepaḥ.indraḥ.(1)triṣṭup,(2-4)anuṣṭup,(5)gāyatrī,(6)dhṛtiḥ,(7)aṣṭiḥ
134.6.daivaodāsiḥ parucchepaḥ.vāyuḥ.(1-5)atyaṣṭiḥ,(6)aṣṭiḥ
135.9.daivaodāsiḥ parucchepaḥ.(1-3,9)vāyuḥ,(4-8)indravāyū.(1-6,9)atyaṣṭiḥ,(7-8)aṣṭiḥ
136.7.daivaodāsiḥ parucchepaḥ.(1-5)mitrāvaruṇau,(6-7)liṅgoktāḥ.(1-6)atyaṣṭiḥ,(7)triṣṭup
137.3.daivaodāsiḥ parucchepaḥ.mitrāvaruṇau.atiśakvarī
138.4.daivaodāsiḥ parucchepaḥ.pūṣā.atyaṣṭiḥ
139.11.daivaodāsiḥ parucchepaḥ.(1,11)viśvedevāḥ,(2)mitrāvaruṇau,(3-5)aśvinau,(6)indraḥ,(7)agniḥ,(8)marutaḥ,(9)indrāgnī,(10)bṛhaspatiḥ.(1-4,6-10)atyaṣṭiḥ,(5)bṛhatī,(11)triṣṭup
140.13.aucathyo dīrghatamāḥ.agniḥ.(1-9,11)jagatī,(10)triṣṭup,(12-13)triṣṭup
141.13.aucathyo dīrghatamāḥ.agniḥ.(1-11)jagatī,(12-13)triṣṭup
142.13.aucathyo dīrghatamāḥ.(1-4)agniḥ,(5)barhiḥ,(6)devīrdvāraḥ,(7)uṣāsānaktā,(8)daivyau hotārau,(9)sarasvatī-iḻā-bhāratī,(10)tvaṣṭā,(11)vanaspatiḥ,(12)svāhākṛtayaḥ,(13)indraḥ.anuṣṭup
143.8.aucathyo dīrghatamāḥ.agniḥ.(1-7)jagatī,(8)triṣṭup
144.7.aucathyo dīrghatamāḥ.agniḥ.jagatī
145.5.aucathyo dīrghatamāḥ.agniḥ.(1-4)jagatī,(5)triṣṭup
146.5.aucathyo dīrghatamāḥ.agniḥ.triṣṭup
147.5.aucathyo dīrghatamāḥ.agniḥ.triṣṭup
148.5.aucathyo dīrghatamāḥ.agniḥ.triṣṭup
149.5.aucathyo dīrghatamāḥ.agniḥ.virāṭ
150.3.aucathyo dīrghatamāḥ.agniḥ.uṣṇik
151.9.aucathyo dīrghatamāḥ.(1)mitraḥ,(2-9)mitrāvaruṇau.jagatī
152.7.aucathyo dīrghatamāḥ.mitrāvaruṇau.triṣṭup
153.4.aucathyo dīrghatamāḥ.mitrāvaruṇau.triṣṭup
154.6.aucathyo dīrghatamāḥ.viṣṇuḥ.triṣṭup
155.6.aucathyo dīrghatamāḥ.(1-3)indrāviṣṇū,(4-6)viṣṇuḥ.jagatī
156.5.aucathyo dīrghatamāḥ.viṣṇuḥ.jagatī
157.6.aucathyo dīrghatamāḥ.aśvinau.(1-4)jagatī,(5-6)triṣṭup
158.6.aucathyo dīrghatamāḥ.aśvinau.(1-5)triṣṭup,(6)anuṣṭup
159.5.aucathyo dīrghatamāḥ.dyāvāpṛthivyau.jagatī
160.5.aucathyo dīrghatamāḥ.dyāvāpṛthivyau.jagatī
161.14.aucathyo dīrghatamāḥ.ṛbhavaḥ.(1-13)jagatī,(14)triṣṭup
162.22.aucathyo dīrghatamāḥ.aśvaḥ.(1-2,4-5,7-22)triṣṭup,(3,6)jagatī
163.13.aucathyo dīrghatamāḥ.aśvaḥ.triṣṭup
164.52.aucathyo dīrghatamāḥ.(1-41)viśvedevāḥ,(42)vāk-āpaḥ,(43)somaḥ,(44)keśinaḥ,(45)vāk,(46-47)sūryaḥ,(48)saṁvatsarakālacakram,(49)sarasvatī,(50)sādhyāḥ,(51-52)sūryaḥ.(1-11,13-14,16-22,24-28,30-35,37-40,43-50,52)triṣṭup,(12,15,23,29,36,41)jagatī,(42)paṅktiḥ,(51)anuṣṭup
165.15.(1-2,4,6,8,10-12)indraḥ,(3,5,7,9)marutaḥ,(13-15)maitrāvaruṇiragastyaḥ.marutvānindraḥ.triṣṭup
166.15.maitrāvaruṇiragastyaḥ.marutaḥ.(1-13)jagatī,(14-15)triṣṭup
167.11.maitrāvaruṇiragastyaḥ.(1)indraḥ,(2-11)marutaḥ.triṣṭup
168.10.maitrāvaruṇiragastyaḥ.marutaḥ.(1-7)jagatī,(8-10)triṣṭup
169.8.maitrāvaruṇiragastyaḥ.indraḥ.(1,3-8)triṣṭup,(2)virāṭ
170.5.(1,3,4)indraḥ,(2,5)maitrāvaruṇiragastyaḥ.indraḥ.(1)bṛhatī,(2-4)anuṣṭup,(5)triṣṭup
171.6.maitrāvaruṇiragastyaḥ.(1-2)marutaḥ,(3-6)marutvānindraḥ.triṣṭup
172.3.maitrāvaruṇiragastyaḥ.marutaḥ.gāyatrī
173.13.maitrāvaruṇiragastyaḥ.indraḥ.triṣṭup
174.10.maitrāvaruṇiragastyaḥ.indraḥ.triṣṭup
175.6.maitrāvaruṇiragastyaḥ.indraḥ.(1)bṛhatī,(2-5)anuṣṭup,(6)triṣṭup
176.6.maitrāvaruṇiragastyaḥ.indraḥ.(1-5)anuṣṭup,(6)triṣṭup
177.5.maitrāvaruṇiragastyaḥ.indraḥ.triṣṭup
178.5.maitrāvaruṇiragastyaḥ.indraḥ.triṣṭup
179.6.(1-2)lopāmudrā,(3-4)maitrāvaruṇiragastyaḥ,(5-6)agastyāntevāsī brahmacārī.ratiḥ.(1-4,6)triṣṭup,(5)bṛhatī
180.10.maitrāvaruṇiragastyaḥ.aśvinau.triṣṭup
181.9.maitrāvaruṇiragastyaḥ.aśvinau.triṣṭup
182.8.maitrāvaruṇiragastyaḥ.aśvinau.(1-5,7)jagatī,(6,8)triṣṭup
183.6.maitrāvaruṇiragastyaḥ.aśvinau.triṣṭup
184.6.maitrāvaruṇiragastyaḥ.aśvinau.triṣṭup
185.11.maitrāvaruṇiragastyaḥ.dyāvāpṛthivyau.triṣṭup
186.11.maitrāvaruṇiragastyaḥ.viśvedevāḥ.triṣṭup
187.11.maitrāvaruṇiragastyaḥ.annam.(1,3,5-7,11)anuṣṭup,(2,4,8-10)gāyatrī
188.11.maitrāvaruṇiragastyaḥ.(1-3)agniḥ,(4)barhiḥ,(5)devīrdvāraḥ,(6)uṣāsānaktā,(7)daivyau hotārau,(8)sarasvatī-iḻā-bhāratī,(9)tvaṣṭā,(10)vanaspatiḥ,(11)svāhākṛtayaḥ.gāyatrī
189.8.maitrāvaruṇiragastyaḥ.agniḥ.triṣṭup
190.8.maitrāvaruṇiragastyaḥ.bṛhaspatiḥ.triṣṭup
191.16.maitrāvaruṇiragastyaḥ.aptṛṇaḥ-sūryaḥ.(1-9,14-16)anuṣṭup,(10-11)paṅktiḥ,(13)bṛhatī



